eventID,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementUnitID,measurementID,occurrenceID,measurementMethod
IYS2022-002-037,Specimen_Weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,4,,grams,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/,IYS2022-002-037-95C-0024-Specimen_Weight,IYS2022-002-037-95C-0024,
IYS2022-002-037,Sex,http://vocab.nerc.ac.uk/collection/P01/current/ENTSEX01/,Unknown,https://vocab.nerc.ac.uk/collection/S10/current/S105/,,,IYS2022-002-037-95C-0024-Sex,IYS2022-002-037-95C-0024,
IYS2022-002-037,Ageclass,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,"NA",,,,IYS2022-002-037-95C-0025-Ageclass,IYS2022-002-037-95C-0025,
IYS2022-002-037,Specimen_Length,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,43,,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,IYS2022-002-037-95C-0025-Specimen_Length,IYS2022-002-037-95C-0025,
IYS2022-002-037,Specimen_Weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,5,,grams,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/,IYS2022-002-037-95C-0025-Specimen_Weight,IYS2022-002-037-95C-0025,
IYS2022-002-037,Sex,http://vocab.nerc.ac.uk/collection/P01/current/ENTSEX01/,Unknown,https://vocab.nerc.ac.uk/collection/S10/current/S105/,,,IYS2022-002-037-95C-0025-Sex,IYS2022-002-037-95C-0025,
IYS2022-002-037,Ageclass,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,"NA",,,,IYS2022-002-037-95C-0026-Ageclass,IYS2022-002-037-95C-0026,
IYS2022-002-037,Specimen_Length,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,46,,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,IYS2022-002-037-95C-0026-Specimen_Length,IYS2022-002-037-95C-0026,
IYS2022-002-037,Specimen_Weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,5,,grams,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/,IYS2022-002-037-95C-0026-Specimen_Weight,IYS2022-002-037-95C-0026,
IYS2022-002-037,Sex,http://vocab.nerc.ac.uk/collection/P01/current/ENTSEX01/,Unknown,https://vocab.nerc.ac.uk/collection/S10/current/S105/,,,IYS2022-002-037-95C-0026-Sex,IYS2022-002-037-95C-0026,
IYS2022-002-037,Ageclass,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,"NA",,,,IYS2022-002-037-95C-0027-Ageclass,IYS2022-002-037-95C-0027,
IYS2022-002-037,Specimen_Length,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,45,,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,IYS2022-002-037-95C-0027-Specimen_Length,IYS2022-002-037-95C-0027,
IYS2022-002-037,Specimen_Weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,4,,grams,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/,IYS2022-002-037-95C-0027-Specimen_Weight,IYS2022-002-037-95C-0027,
IYS2022-002-037,Sex,http://vocab.nerc.ac.uk/collection/P01/current/ENTSEX01/,Unknown,https://vocab.nerc.ac.uk/collection/S10/current/S105/,,,IYS2022-002-037-95C-0027-Sex,IYS2022-002-037-95C-0027,
IYS2022-002-037,Ageclass,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,"NA",,,,IYS2022-002-037-95C-0028-Ageclass,IYS2022-002-037-95C-0028,
IYS2022-002-037,Specimen_Length,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,45,,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,IYS2022-002-037-95C-0028-Specimen_Length,IYS2022-002-037-95C-0028,
IYS2022-002-037,Specimen_Weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,5,,grams,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/,IYS2022-002-037-95C-0028-Specimen_Weight,IYS2022-002-037-95C-0028,
IYS2022-002-037,Sex,http://vocab.nerc.ac.uk/collection/P01/current/ENTSEX01/,Unknown,https://vocab.nerc.ac.uk/collection/S10/current/S105/,,,IYS2022-002-037-95C-0028-Sex,IYS2022-002-037-95C-0028,
IYS2022-002-037,Ageclass,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,"NA",,,,IYS2022-002-037-95C-0029-Ageclass,IYS2022-002-037-95C-0029,
IYS2022-002-037,Specimen_Length,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,54,,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,IYS2022-002-037-95C-0029-Specimen_Length,IYS2022-002-037-95C-0029,
IYS2022-002-037,Specimen_Weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,5,,grams,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/,IYS2022-002-037-95C-0029-Specimen_Weight,IYS2022-002-037-95C-0029,
IYS2022-002-037,Sex,http://vocab.nerc.ac.uk/collection/P01/current/ENTSEX01/,Unknown,https://vocab.nerc.ac.uk/collection/S10/current/S105/,,,IYS2022-002-037-95C-0029-Sex,IYS2022-002-037-95C-0029,
IYS2022-002-037,Ageclass,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,"NA",,,,IYS2022-002-037-95C-0030-Ageclass,IYS2022-002-037-95C-0030,
IYS2022-002-037,Specimen_Length,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,45,,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,IYS2022-002-037-95C-0030-Specimen_Length,IYS2022-002-037-95C-0030,
IYS2022-002-037,Specimen_Weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,5,,grams,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/,IYS2022-002-037-95C-0030-Specimen_Weight,IYS2022-002-037-95C-0030,
IYS2022-002-037,Sex,http://vocab.nerc.ac.uk/collection/P01/current/ENTSEX01/,Unknown,https://vocab.nerc.ac.uk/collection/S10/current/S105/,,,IYS2022-002-037-95C-0030-Sex,IYS2022-002-037-95C-0030,
IYS2022-002-037,Ageclass,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,"NA",,,,IYS2022-002-037-95C-0031-Ageclass,IYS2022-002-037-95C-0031,
IYS2022-002-037,Specimen_Length,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,50,,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,IYS2022-002-037-95C-0031-Specimen_Length,IYS2022-002-037-95C-0031,
IYS2022-002-037,Specimen_Weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,5,,grams,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/,IYS2022-002-037-95C-0031-Specimen_Weight,IYS2022-002-037-95C-0031,
IYS2022-002-037,Sex,http://vocab.nerc.ac.uk/collection/P01/current/ENTSEX01/,Unknown,https://vocab.nerc.ac.uk/collection/S10/current/S105/,,,IYS2022-002-037-95C-0031-Sex,IYS2022-002-037-95C-0031,
IYS2022-002-037,Ageclass,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,"NA",,,,IYS2022-002-037-95C-0032-Ageclass,IYS2022-002-037-95C-0032,
IYS2022-002-037,Specimen_Length,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,50,,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,IYS2022-002-037-95C-0032-Specimen_Length,IYS2022-002-037-95C-0032,
IYS2022-002-037,Specimen_Weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,6,,grams,http://vocab.nerc.ac.uk/collection/P06/current/UGRM/,IYS2022-002-037-95C-0032-Specimen_Weight,IYS2022-002-037-95C-0032,
