eventID,occurrenceID,scientificName,scientificNameID,scientificNameAuthorship,taxonomicStatus,taxonRank,vernacularName,individualCount,kingdom,phylum,class,order,family,genus,specificEpithet,dateIdentified,identifiedBy,basisOfRecord,occurrenceStatus
IYS2022-002-021,IYS2022-002-021-3XU,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,Hormiphora Cucumis,16,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,cucumis,2022-02-23T00:00:00Z,Tyler Zubkowski,HumanObservation,present
IYS2022-002-037,IYS2022-002-037-3XU,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,Hormiphora Cucumis,11,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,cucumis,2022-02-26T00:00:00Z,Tyler Zubkowski,HumanObservation,present
IYS2022-002-041,IYS2022-002-041-3XU,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,"(Mertens, 1833)",accepted,Species,Hormiphora Cucumis,1,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,cucumis,2022-02-27T00:00:00Z,Tyler Zubkowski,HumanObservation,present
IYS2022-002-013,IYS2022-002-013-115,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,"(Walbaum, 1792)",accepted,Species,Coho Salmon,1,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,kisutch,2022-02-22T00:00:00Z,Tyler Zubkowski,HumanObservation,present
IYS2022-002-017,IYS2022-002-017-115,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,"(Walbaum, 1792)",accepted,Species,Coho Salmon,1,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,kisutch,2022-02-23T00:00:00Z,Tyler Zubkowski,HumanObservation,present
IYS2022-002-025,IYS2022-002-025-115,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,"(Walbaum, 1792)",accepted,Species,Coho Salmon,4,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,kisutch,2022-02-24T00:00:00Z,Tyler Zubkowski,HumanObservation,present
IYS2022-002-033,IYS2022-002-033-115,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,"(Walbaum, 1792)",accepted,Species,Coho Salmon,2,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,kisutch,2022-02-26T00:00:00Z,Tyler Zubkowski,HumanObservation,present
IYS2022-002-045,IYS2022-002-045-115,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,"(Walbaum, 1792)",accepted,Species,Coho Salmon,2,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,kisutch,2022-02-27T00:00:00Z,Tyler Zubkowski,HumanObservation,present
IYS2022-002-050,IYS2022-002-050-115,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,"(Walbaum, 1792)",accepted,Species,Coho Salmon,3,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,kisutch,2022-02-28T00:00:00Z,Tyler Zubkowski,HumanObservation,present
IYS2022-002-059,IYS2022-002-059-115,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,"(Walbaum, 1792)",accepted,Species,Coho Salmon,1,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,kisutch,2022-03-01T00:00:00Z,Tyler Zubkowski,HumanObservation,present
